"cancer_type" "species" "correlation"
"other tumour types" "Antilocapra_americana" 0.263538446837475
"ovarian" "Antilocapra_americana" 0.205324014477168
"paediatric" "Antilocapra_americana" 0.321282112511763
"pancreas" "Antilocapra_americana" 0.157115094000147
"prostate" "Antilocapra_americana" 0.167982808222509
"rare other tumour types" "Antilocapra_americana" -0.320877567153567
"renal" "Antilocapra_americana" 0.159781471561229
"sarcoma" "Antilocapra_americana" 0.213964377890433
"skin" "Antilocapra_americana" 0.170045894511041
"small intestine" "Antilocapra_americana" 0.0846407412263591
"soft tissue sarcoma" "Antilocapra_americana" 0.247933980437017
"testicular" "Antilocapra_americana" 0.0913276735969822
"thyroid" "Antilocapra_americana" 0.251883571074962
"urothelial" "Antilocapra_americana" 0.216014784503176
"uterine" "Antilocapra_americana" 0.163338658878727
"all" "Aotus_nancymaae" 0.581024469873081
"bladder" "Aotus_nancymaae" 0.585931005291802
"breast" "Aotus_nancymaae" 0.579406820113116
"central nervous system" "Aotus_nancymaae" 0.508275019984611
"colon" "Aotus_nancymaae" 0.573074568679579
"colorectal" "Aotus_nancymaae" 0.58009686729951
"endometrial" "Aotus_nancymaae" 0.550062220495639
"gastric" "Aotus_nancymaae" 0.572871579168201
"glioma" "Aotus_nancymaae" 0.608419899528531
"head and neck" "Aotus_nancymaae" 0.595882452348617
"hepatocellular" "Aotus_nancymaae" 0.608625477198407
"intestine" "Aotus_nancymaae" 0.614727200391457
"kidney" "Aotus_nancymaae" 0.623373336927841
"leukaemia" "Aotus_nancymaae" 0.52781001993676
"liver" "Aotus_nancymaae" 0.399926491755896
"lung" "Aotus_nancymaae" 0.606363499902286
"lymphoma" "Aotus_nancymaae" 0.542902176100455
"melanoma" "Aotus_nancymaae" 0.605111967192648
"mesothelioma" "Aotus_nancymaae" 0.745751533048032
"oesophagus" "Aotus_nancymaae" 0.562319255772214
"other tumour types" "Aotus_nancymaae" 0.621053346520937
"ovarian" "Aotus_nancymaae" 0.58380994295309
"paediatric" "Aotus_nancymaae" 0.605170913898842
"pancreas" "Aotus_nancymaae" 0.594719877598711
"prostate" "Aotus_nancymaae" 0.548585570171928
"rare other tumour types" "Aotus_nancymaae" 0.708695652173913
"renal" "Aotus_nancymaae" 0.544138092313192
"sarcoma" "Aotus_nancymaae" 0.582830734078957
"skin" "Aotus_nancymaae" 0.656393785590522
"small intestine" "Aotus_nancymaae" 0.615889913671645
"soft tissue sarcoma" "Aotus_nancymaae" 0.478375547915294
"testicular" "Aotus_nancymaae" 0.592034262850749
"thyroid" "Aotus_nancymaae" 0.550212441501329
"urothelial" "Aotus_nancymaae" 0.634570549584733
"uterine" "Aotus_nancymaae" 0.520041652783215
"all" "Aplodontia_rufa" 0.217953523308673
"bladder" "Aplodontia_rufa" 0.288228210019083
"breast" "Aplodontia_rufa" 0.184499147633323
"central nervous system" "Aplodontia_rufa" 0.230931232112449
"colon" "Aplodontia_rufa" 0.292454856722321
"colorectal" "Aplodontia_rufa" 0.217198908685858
"endometrial" "Aplodontia_rufa" 0.168083343082583
"gastric" "Aplodontia_rufa" 0.197591528498657
"glioma" "Aplodontia_rufa" 0.230751324257311
"head and neck" "Aplodontia_rufa" 0.231884936393281
"hepatocellular" "Aplodontia_rufa" 0.221850379551242
"intestine" "Aplodontia_rufa" 0.14873228032385
"kidney" "Aplodontia_rufa" 0.329142766699885
"leukaemia" "Aplodontia_rufa" 0.135362981398343
"liver" "Aplodontia_rufa" 0.302520989136222
"lung" "Aplodontia_rufa" 0.281367456632398
"lymphoma" "Aplodontia_rufa" 0.219188458985553
"melanoma" "Aplodontia_rufa" 0.258851508690566
"mesothelioma" "Aplodontia_rufa" 0.313548358785264
"oesophagus" "Aplodontia_rufa" 0.166053611492108
"other tumour types" "Aplodontia_rufa" 0.300220877598792
"ovarian" "Aplodontia_rufa" 0.247192993729191
"paediatric" "Aplodontia_rufa" 0.24731747328629
"pancreas" "Aplodontia_rufa" 0.19010506686013
"prostate" "Aplodontia_rufa" 0.153664057190978
"rare other tumour types" "Aplodontia_rufa" -0.110434782608696
"renal" "Aplodontia_rufa" 0.179927806806184
"sarcoma" "Aplodontia_rufa" 0.232474288878086
"skin" "Aplodontia_rufa" 0.145989029766935
"small intestine" "Aplodontia_rufa" 0.211027800298925
"soft tissue sarcoma" "Aplodontia_rufa" 0.246725893795915
"testicular" "Aplodontia_rufa" 0.0691813218987599
"thyroid" "Aplodontia_rufa" 0.26253676815001
"urothelial" "Aplodontia_rufa" 0.309145626658598
"uterine" "Aplodontia_rufa" 0.160660631981352
"all" "Artibeus_jamaicensis" 0.193891654722589
"bladder" "Artibeus_jamaicensis" 0.208843106954629
"breast" "Artibeus_jamaicensis" 0.162840627830551
"central nervous system" "Artibeus_jamaicensis" 0.155537742663342
"colon" "Artibeus_jamaicensis" 0.237053790358821
"colorectal" "Artibeus_jamaicensis" 0.205563164318252
"endometrial" "Artibeus_jamaicensis" 0.147265276919473
"gastric" "Artibeus_jamaicensis" 0.169778486521357
"glioma" "Artibeus_jamaicensis" 0.226056380882896
"head and neck" "Artibeus_jamaicensis" 0.213446197211942
"hepatocellular" "Artibeus_jamaicensis" 0.217948208942838
"intestine" "Artibeus_jamaicensis" 0.174014610026494
"kidney" "Artibeus_jamaicensis" 0.273441034490935
"leukaemia" "Artibeus_jamaicensis" 0.151389979808896
"liver" "Artibeus_jamaicensis" 0.243877193834072
"lung" "Artibeus_jamaicensis" 0.260064940345532
"lymphoma" "Artibeus_jamaicensis" 0.176288301687355
"melanoma" "Artibeus_jamaicensis" 0.249197762069155
"mesothelioma" "Artibeus_jamaicensis" 0.319230300558783
"oesophagus" "Artibeus_jamaicensis" 0.137186547648044
"other tumour types" "Artibeus_jamaicensis" 0.277214745317429
"ovarian" "Artibeus_jamaicensis" 0.174670544940024
"paediatric" "Artibeus_jamaicensis" 0.321741010046034
"pancreas" "Artibeus_jamaicensis" 0.21483867829279
"prostate" "Artibeus_jamaicensis" 0.146188694197131
"rare other tumour types" "Artibeus_jamaicensis" -0.111722889468081
"renal" "Artibeus_jamaicensis" 0.136265853868079
"sarcoma" "Artibeus_jamaicensis" 0.199030195886084
"skin" "Artibeus_jamaicensis" 0.151277412770546
